Vivado Simulator 2019.2
Time resolution is 1 ps
Block Memory Generator module image_loader_module_tb.uut.IMG_LOADER.bram.inst.native_mem_module.blk_mem_gen_v8_4_4_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Time: 0 | x_tdata: 00000000 | x_tvalid: x | r_addr:    x
Time: 33515000 | x_tdata: 0000009b | x_tvalid: 1 | r_addr:  156
Time: 33515000 | x_tdata: 0000009c | x_tvalid: 1 | r_addr:  156
Time: 33525000 | x_tdata: 0000009c | x_tvalid: 1 | r_addr:  157
Time: 33525000 | x_tdata: 0000009d | x_tvalid: 1 | r_addr:  157
Time: 33535000 | x_tdata: 0000009d | x_tvalid: 1 | r_addr:  158
Time: 33535000 | x_tdata: 0000009e | x_tvalid: 1 | r_addr:  158
Time: 33545000 | x_tdata: 0000009e | x_tvalid: 1 | r_addr:  159
Time: 33545000 | x_tdata: 0000009f | x_tvalid: 1 | r_addr:  159
Time: 33555000 | x_tdata: 0000009f | x_tvalid: 1 | r_addr:  160
Time: 33555000 | x_tdata: 000000a0 | x_tvalid: 1 | r_addr:  160
Time: 33565000 | x_tdata: 000000a0 | x_tvalid: 1 | r_addr:  161
Time: 33565000 | x_tdata: 000000a1 | x_tvalid: 1 | r_addr:  161
Time: 33575000 | x_tdata: 000000a1 | x_tvalid: 1 | r_addr:  162
Time: 33575000 | x_tdata: 000000a2 | x_tvalid: 1 | r_addr:  162
Time: 33585000 | x_tdata: 000000a2 | x_tvalid: 1 | r_addr:  163
Time: 33585000 | x_tdata: 000000a3 | x_tvalid: 1 | r_addr:  163
Time: 33595000 | x_tdata: 000000a3 | x_tvalid: 1 | r_addr:  164
Time: 33595000 | x_tdata: 000000a4 | x_tvalid: 1 | r_addr:  164
Time: 33605000 | x_tdata: 000000a4 | x_tvalid: 1 | r_addr:  165
